DATE,AMP,GOODRSTOCK,PDA,TWC,Total
01/01/22,,,,,
01/02/22,,,,,
01/03/22,1,0,0,0,0.25
01/04/22,1,0,0,0,0.25
01/05/22,1,0,0,0,0.25
01/06/22,1,0,0,0,0.25
01/07/22,1,0,0,0,0.25
01/08/22,,,,,
01/09/22,,,,,
01/10/22,1,0,0,0,0.25
01/11/22,1,0,0,1,0.5
01/12/22,1,0,0,0,0.25
01/13/22,1,0,0,0,0.25
01/14/22,1,0,0,0,0.25
01/15/22,,,,,
01/16/22,,,,,
01/17/22,1,0,0,0,0.25
01/18/22,1,0,0,0,0.25
01/19/22,1,0,0,0,0.25
01/20/22,1,0,0,0,0.25
01/21/22,1,0,0,0,0.25
01/22/22,,,,,
01/23/22,,,,,
01/24/22,1,0,1,0,0.5
01/25/22,1,0,2,0,0.75
01/26/22,1,0,1,0,0.5
01/27/22,1,0,2,0,0.75
01/28/22,1,0,2,0,0.75
01/29/22,,,,,
01/30/22,,,,,
01/31/22,1,0,0,0,0.25
02/01/22,0,0,0,1,0.25
02/02/22,0,0,0,0,0
02/03/22,0,0,0,0,0
02/04/22,0,0,0,0,0
02/05/22,,,,,
02/06/22,,,,,
02/07/22,0,0,0,0,0
02/08/22,0,0,0,1,0.25
02/09/22,0,0,0,0,0
02/10/22,0,0,0,0,0
02/11/22,0,0,0,0,0
02/12/22,,,,,
02/13/22,,,,,
02/14/22,0,0,0,0,0
02/15/22,0,0,0,1,0.25
02/16/22,0,0,0,0,0
02/17/22,0,0,0,0,0
02/18/22,0,0,0,0,0
02/19/22,,,,,
02/20/22,,,,,
02/21/22,0,0,0,0,0
02/22/22,0,0,0,0,0
02/23/22,0,0,0,0,0
02/24/22,0,0,0,0,0
02/25/22,0,0,0,0,0
02/26/22,,,,,
02/27/22,,,,,
02/28/22,0,0,0,0,0
03/01/22,0,0,0,1,0.25
03/02/22,0,0,0,0,0
03/03/22,0,0,0,0,0
03/04/22,0,0,0,0,0
03/05/22,,,,,
03/06/22,,,,,
03/07/22,0,1,0,0,0.25
03/08/22,0,2,0,0,0.5
03/09/22,0,1,0,0,0.25
03/10/22,0,1,0,0,0.25
03/11/22,0,2,0,0,0.5
03/12/22,,,,,
03/13/22,,,,,
03/14/22,0,0,0,0,0
03/15/22,0,0,0,1,0.25
03/16/22,0,0,0,0,0
03/17/22,0,0,0,0,0
03/18/22,0,0,0,0,0
03/19/22,,,,,
03/20/22,,,,,
03/21/22,0,0,0,0,0
03/22/22,0,0,0,1,0.25
03/23/22,0,0,0,0,0
03/24/22,0,0,0,0,0
03/25/22,0,0,0,0,0
03/26/22,,,,,
03/27/22,,,,,
03/28/22,0,0,0,0,0
03/29/22,0,0,0,1,0.25
03/30/22,0,0,0,0,0
03/31/22,0,0,0,0,0
04/01/22,1,0,0,0,0.25
04/02/22,,,,,
04/03/22,,,,,
04/04/22,1,0,0,0,0.25
04/05/22,1,0,0,1,0.5
04/06/22,1,0,0,0,0.25
04/07/22,1,0,0,0,0.25
04/08/22,1,0,0,0,0.25
04/09/22,,,,,
04/10/22,,,,,
04/11/22,1,0,0,0,0.25
04/12/22,1,0,0,1,0.5
04/13/22,1,0,0,0,0.25
04/14/22,1,0,0,0,0.25
04/15/22,1,0,0,0,0.25
04/16/22,,,,,
04/17/22,,,,,
04/18/22,1,0,0,0,0.25
04/19/22,1,0,0,1,0.5
04/20/22,1,0,0,0,0.25
04/21/22,1,0,0,0,0.25
04/22/22,1,0,0,0,0.25
04/23/22,,,,,
04/24/22,,,,,
04/25/22,1,0,1,0,0.5
04/26/22,1,0,2,0,0.75
04/27/22,1,0,1,0,0.5
04/28/22,1,0,2,0,0.75
04/29/22,1,0,2,0,0.75
04/30/22,,,,,
05/01/22,,,,,
05/02/22,0,0,0,0,0
05/03/22,0,0,0,1,0.25
05/04/22,0,0,0,0,0
05/05/22,0,0,0,0,0
05/06/22,0,0,0,0,0
05/07/22,,,,,
05/08/22,,,,,
05/09/22,0,0,0,0,0
05/10/22,0,0,0,1,0.25
05/11/22,0,0,0,0,0
05/12/22,0,0,0,0,0
05/13/22,0,0,0,0,0
05/14/22,,,,,
05/15/22,,,,,
05/16/22,0,0,0,0,0
05/17/22,0,0,0,1,0.25
05/18/22,0,0,0,0,0
05/19/22,0,0,0,0,0
05/20/22,0,0,0,0,0
05/21/22,,,,,
05/22/22,,,,,
05/23/22,0,0,0,0,0
05/24/22,0,0,0,1,0.25
05/25/22,0,0,0,0,0
05/26/22,0,0,0,0,0
05/27/22,0,0,0,0,0
05/28/22,,,,,
05/29/22,,,,,
05/30/22,0,0,0,0,0
05/31/22,0,0,0,0,0
06/01/22,0,0,0,0,0
06/02/22,0,0,0,0,0
06/03/22,0,0,0,0,0
06/04/22,,,,,
06/05/22,,,,,
06/06/22,0,0,0,0,0
06/07/22,0,0,0,1,0.25
06/08/22,0,0,0,0,0
06/09/22,0,0,0,0,0
06/10/22,0,0,0,0,0
06/11/22,,,,,
06/12/22,,,,,
06/13/22,0,0,0,0,0
06/14/22,0,0,0,1,0.25
06/15/22,0,0,0,0,0
06/16/22,0,0,0,0,0
06/17/22,0,0,0,0,0
06/18/22,,,,,
06/19/22,,,,,
06/20/22,0,0,0,0,0
06/21/22,0,1,0,0,0.25
06/22/22,0,1,0,0,0.25
06/23/22,0,2,0,0,0.5
06/24/22,0,1,0,0,0.25
06/25/22,,,,,
06/26/22,,,,,
06/27/22,0,0,0,0,0
06/28/22,0,0,0,1,0.25
06/29/22,0,0,0,0,0
06/30/22,0,0,0,0,0
07/01/22,1,0,0,0,0.25
07/02/22,,,,,
07/03/22,,,,,
07/04/22,1,0,0,0,0.25
07/05/22,1,0,0,0,0.25
07/06/22,1,0,0,0,0.25
07/07/22,1,0,0,0,0.25
07/08/22,1,0,0,0,0.25
07/09/22,,,,,
07/10/22,,,,,
07/11/22,1,0,0,0,0.25
07/12/22,1,0,0,1,0.5
07/13/22,1,0,0,0,0.25
07/14/22,1,0,0,0,0.25
07/15/22,1,0,0,0,0.25
07/16/22,,,,,
07/17/22,,,,,
07/18/22,1,0,0,0,0.25
07/19/22,1,0,0,1,0.5
07/20/22,1,0,0,0,0.25
07/21/22,1,0,0,0,0.25
07/22/22,1,0,0,0,0.25
07/23/22,,,,,
07/24/22,,,,,
07/25/22,1,0,1,0,0.5
07/26/22,1,0,2,0,0.75
07/27/22,1,0,1,0,0.5
07/28/22,1,0,2,0,0.75
07/29/22,1,0,1,0,0.5
07/30/22,,,,,
07/31/22,,,,,
08/01/22,0,0,0,0,0
08/02/22,0,0,0,1,0.25
08/03/22,0,0,0,0,0
08/04/22,0,0,0,0,0
08/05/22,0,0,0,0,0
08/06/22,,,,,
08/07/22,,,,,
08/08/22,0,0,0,0,0
08/09/22,0,0,0,1,0.25
08/10/22,0,0,0,0,0
08/11/22,0,0,0,0,0
08/12/22,0,0,0,0,0
08/13/22,,,,,
08/14/22,,,,,
08/15/22,0,0,0,0,0
08/16/22,0,0,0,1,0.25
08/17/22,0,0,0,0,0
08/18/22,0,0,0,0,0
08/19/22,0,0,0,0,0
08/20/22,,,,,
08/21/22,,,,,
08/22/22,0,0,0,0,0
08/23/22,0,0,0,1,0.25
08/24/22,0,0,0,0,0
08/25/22,0,0,0,0,0
08/26/22,0,0,0,0,0
08/27/22,,,,,
08/28/22,,,,,
08/29/22,0,0,0,0,0
08/30/22,0,0,0,1,0.25
08/31/22,0,0,0,0,0
09/01/22,0,0,0,0,0
09/02/22,0,0,0,0,0
09/03/22,,,,,
09/04/22,,,,,
09/05/22,0,0,0,0,0
09/06/22,0,0,0,0,0
09/07/22,0,0,0,0,0
09/08/22,0,0,0,0,0
09/09/22,0,0,0,0,0
09/10/22,,,,,
09/11/22,,,,,
09/12/22,0,0,0,0,0
09/13/22,0,0,0,1,0.25
09/14/22,0,0,0,0,0
09/15/22,0,0,0,0,0
09/16/22,0,0,0,0,0
09/17/22,,,,,
09/18/22,,,,,
09/19/22,0,1,0,0,0.25
09/20/22,0,2,0,0,0.5
09/21/22,0,2,0,0,0.5
09/22/22,0,2,0,0,0.5
09/23/22,0,1,0,0,0.25
09/24/22,,,,,
09/25/22,,,,,
09/26/22,0,0,0,0,0
09/27/22,0,0,0,1,0.25
09/28/22,0,0,0,0,0
09/29/22,0,0,0,0,0
09/30/22,0,0,0,0,0
10/01/22,,,,,
10/02/22,,,,,
10/03/22,1,0,0,0,0.25
10/04/22,1,0,0,1,0.5
10/05/22,1,0,0,0,0.25
10/06/22,1,0,0,0,0.25
10/07/22,1,0,0,0,0.25
10/08/22,,,,,
10/09/22,,,,,
10/10/22,1,0,0,0,0.25
10/11/22,1,0,0,1,0.5
10/12/22,1,0,0,0,0.25
10/13/22,1,0,0,0,0.25
10/14/22,1,0,0,0,0.25
10/15/22,,,,,
10/16/22,,,,,
10/17/22,1,0,0,0,0.25
10/18/22,1,0,0,1,0.5
10/19/22,1,0,0,0,0.25
10/20/22,1,0,0,0,0.25
10/21/22,1,0,0,0,0.25
10/22/22,,,,,
10/23/22,,,,,
10/24/22,1,0,1,0,0.5
10/25/22,1,0,2,0,0.75
10/26/22,1,0,1,0,0.5
10/27/22,1,0,2,0,0.75
10/28/22,1,0,1,0,0.5
10/29/22,,,,,
10/30/22,,,,,
10/31/22,1,0,0,0,0.25
11/01/22,0,0,0,1,0.25
11/02/22,0,0,0,0,0
11/03/22,0,0,0,0,0
11/04/22,0,0,0,0,0
11/05/22,,,,,
11/06/22,,,,,
11/07/22,0,0,0,0,0
11/08/22,0,0,0,0,0
11/09/22,0,0,0,0,0
11/10/22,0,0,0,0,0
11/11/22,0,0,0,0,0
11/12/22,,,,,
11/13/22,,,,,
11/14/22,0,0,0,0,0
11/15/22,0,0,0,1,0.25
11/16/22,0,0,0,0,0
11/17/22,0,0,0,0,0
11/18/22,0,0,0,0,0
11/19/22,,,,,
11/20/22,,,,,
11/21/22,0,0,0,0,0
11/22/22,0,0,0,0,0
11/23/22,0,0,0,0,0
11/24/22,0,0,0,0,0
11/25/22,0,0,0,0,0
11/26/22,,,,,
11/27/22,,,,,
11/28/22,0,0,0,0,0
11/29/22,0,0,0,1,0.25
11/30/22,0,0,0,0,0
12/01/22,0,0,0,0,0
12/02/22,0,0,0,0,0
12/03/22,,,,,
12/04/22,,,,,
12/05/22,0,0,0,0,0
12/06/22,0,0,0,1,0.25
12/07/22,0,0,0,0,0
12/08/22,0,0,0,0,0
12/09/22,0,0,0,0,0
12/10/22,,,,,
12/11/22,,,,,
12/12/22,0,1,0,0,0.25
12/13/22,0,1,0,0,0.25
12/14/22,0,1,0,0,0.25
12/15/22,0,2,0,0,0.5
12/16/22,0,1,0,0,0.25
12/17/22,,,,,
12/18/22,,,,,
12/19/22,0,0,0,0,0
12/20/22,0,0,0,1,0.25
12/21/22,0,0,0,0,0
12/22/22,0,0,0,0,0
12/23/22,0,0,0,0,0
12/24/22,,,,,
12/25/22,,,,,
12/26/22,0,0,0,0,0
12/27/22,0,0,0,0,0
12/28/22,0,0,0,0,0
12/29/22,0,0,0,0,0
12/30/22,0,0,0,0,0
12/31/22,,,,,